Transfers of major conventional arms from All countries  to Israel  . Deals with deliveries made for the year range '2010' to '2024' ;;;;;;;;;;;;;;;
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).;;;;;;;;;;;;;;;
An empty field for 'Number ordered' indicates that data is not yet available.;;;;;;;;;;;;;;;
SIPRI trend-indicator values (TIVs) are in millions.;;;;;;;;;;;;;;;
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.;;;;;;;;;;;;;;;
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.;;;;;;;;;;;;;;
Figures may not add up to stated totals due to the conventions of rounding.;;;;;;;;;;;;;;;
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Source: SIPRI Arms Transfers Database (c) SIPRI.;;;;;;;;;;;;;;;
Data generated: 5 Jan 2026 11:04:22 PM;;;;;;;;;;;;;;;
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons;;;;;;;;;;;;;;;
Israel,United States,2023,,1200,?,JDAM,guided bomb,1200,?,2023,Second hand,Second-hand; aid after October 2023 Hamas attack on Israel,0.01,9.6,9.6;;;;;;;;;;;;;;
Israel,United States,2022,?,,,David,armoured personnel carrier,121,,2022; 2023,New,,0.11,0,13.31;;;;;;;;;;;;;;
Israel,United States,2023,,,,GBU-39 SDB,guided glide bomb,2600,?,2024,Second hand,Probably second-hand; aid,0.01,0,20.8;;;;;;;;;;;;;;
Israel,Italy,2015,?,4,,Super Rapid 76mm,naval gun,4,?,2022; 2023,New,For 4 MEKO PC-IN (Sa'ar-6) frigates from Germany,2.75,11,11;;;;;;;;;;;;;;
Israel,Canada,2006,?,10,?,aircraft engine,aircraft engine,4,?,2010; 2011,New,Pratt & Whitney Canada PT-6A-67A (1200hp) turboprop; for Eitan (Heron-TP) UAV produced in Israel,0.5,5,2;;;;;;;;;;;;;
Israel,United States,2023,,50,?,L-ATV,armoured personnel carrier,50,?,2024,New,JLTV version,0.18,9,9;;;;;;;;;;;;;;;
Israel,United States,2023,,300,?,Tamir,SAM,300,?,2023,Second hand,Second-hand; aid,0.06,18,18;;;;;;;;;;;;;;
Israel,United States,2017,,50,?,vehicle engine,vehicle engine,50,?,2018; 2019,New,$10.5 m 'FMF' aid; probably 16V-92 (710-850hp) diesel engine; for modernization of Achzarit infantry fighting vehicles,0.11,5.5,5.5;;;;;;;;;;;;
Israel,United States,2015,,100,,vehicle engine,vehicle engine,100,?,2016; 2017,New,$16 m deal; probably 16V-92 (710-850hp) diesel engine; for modernization of Achzarit infantry fighting vehicles,0.11,11,11;;;;;;;;;;;;
