Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Latvia,2024,,9,,Spartan,armoured personnel carrier,9,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,0.9,0.9
Ukraine,Australia,2024,,100,?,RBS-70 Mk-3 Bolide,portable SAM,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion od Ukraine,0.04,4,4
Ukraine,Montenegro,2022,?,226,,Strela-2,portable SAM,226,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,3.62,3.62
Ukraine,Turkiye,2023,,50,?,Cobra-2,armoured personnel carrier,50,?,2023,New,,0.25,12.5,12.5
Ukraine,United States,2022,,440,,MaxxPro,armoured personnel carrier,440,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 40 mine-clearing version,0.13,56.32,56.32
Ukraine,Poland,2023,,100,?,Dozor-B,armoured personnel carrier,100,?,2023; 2024,New,Oncilla version,0.15,15,15
Ukraine,Australia,2024,?,100,?,JDAM-ER,guided glide bomb,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,4,4
Ukraine,United States,2022,?,,,Phoenix Ghost Disruptor,one-way attack drone,260,?,2023; 2024,New,,0.06,0,15.6
Ukraine,Romania,2024,,1,,Patriot Configuration-3,SAM system,1,,2024,New,Second-hand (but not yet used operationally by Romania); aid after 2022 Russian invasion of Ukraine; partly financed by Norway,55,55,55
Ukraine,Bulgaria,2023,?,10,?,2S1 122mm,self-propelled gun,10,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,France,2022,,4,,M-270 MLRS 227mm,multiple rocket launcher,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; LRU version,0.48,1.92,1.92
